city,cloudiness,humidity,lat,temp,wind_speed
Khorixas,44,92,-20.37,16.65,1.3
New Norfolk,75,39,-42.78,18.0,7.2
Kabare,36,100,-1.65,13.25,1.05
Shimoda,40,72,34.7,19.0,3.6
Luderitz,44,93,-26.65,15.0,3.1
Maltahohe,0,95,-24.83,13.45,1.95
Cordoba,92,97,5.59,10.78,0.75
Marawi,12,63,8.0,28.25,1.35
Salta,90,93,-24.79,16.58,1.15
Nhulunbuy,40,46,-12.18,34.0,4.6
Manado,40,66,1.49,30.0,1.5
San Carlos de Bariloche,0,50,-41.13,11.0,2.6
Kambove,56,88,-10.88,17.83,3.1
San Francisco,1,76,37.78,16.95,5.7
Dunda,0,57,30.62,13.08,0.75
Northam,92,93,51.04,4.0,5.1
Siyabuswa,24,89,-25.11,14.08,1.25
Bandarbeyla,92,100,9.49,27.03,1.75
Caruray,12,92,10.31,29.0,2.2
Clyde River,90,84,70.47,-14.0,7.2
Tomatlan,8,68,19.93,21.28,1.35
Noshiro,75,100,40.21,10.72,0.5
Bontang,88,100,0.12,25.65,0.15
Kampene,48,94,-3.59,22.33,0.85
Yarmouth,92,100,50.71,6.0,5.7
Isla Mujeres,40,73,21.23,25.0,2.1
San Luis,68,81,-33.3,18.33,4.55
Ongandjera,76,89,-17.88,19.58,2.95
Valparaiso,75,68,41.47,-0.58,3.1
Talnakh,48,80,69.49,-22.65,6.7
Sokoni,44,93,-12.89,17.45,2.5
Boyolangu,20,87,-8.09,28.3,1.6
Yellowknife,20,50,62.45,-13.0,3.1
Sahuaripa,36,25,29.05,20.55,1.25
Ostrovnoy,64,81,68.05,-8.75,5.2
Kaniama,76,98,-7.57,20.08,1.1
Opuwo,68,94,-18.06,17.08,2.15
Port Augusta,0,64,-32.49,21.0,7.7
Kawalu,24,79,-7.38,25.75,1.05
Pierre,1,60,44.37,0.0,7.2
Athabasca,0,62,54.72,-11.85,2.85
Brighton,75,100,50.82,6.0,3.6
San Pedro,64,79,-33.68,20.15,5.9
Maumere,12,96,-8.63,29.3,2.4
Oneonta,20,64,42.45,-4.5,1.2
Shatsk,92,96,51.49,0.0,9.0
Upernavik,68,80,72.79,-6.68,4.4
Honavar,20,93,14.28,26.8,0.95
San Rafael,0,90,-34.61,10.43,1.25
Portland,75,87,45.52,6.63,5.1
Kikwit,64,96,-5.04,22.65,1.35
Cockburn Town,92,100,21.46,24.0,7.2
Concepcion del Oro,32,38,24.63,13.55,1.85
Port Lincoln,56,86,-34.72,18.75,4.25
La Paz,75,27,24.15,25.0,2.6
Otavi,44,86,-19.64,14.3,2.4
Port Macquarie,0,54,-31.43,28.0,1.5
Tabou,56,100,4.42,27.53,4.85
Tabora,48,95,-5.02,16.55,2.55
Bulembu,88,100,-25.95,22.0,2.1
Otjimbingwe,20,98,-22.35,16.18,1.2
Kindu,12,97,-2.95,22.38,1.05
La Rioja,92,94,-29.41,18.25,0.3
Lima,0,88,-12.06,13.7,0.75
Kipushi,44,87,-11.76,17.83,3.75
Boende,36,94,-0.28,22.03,0.5
Hami,92,65,42.84,9.65,3.55
Baie-Comeau,1,53,49.22,-3.4,4.6
Marsh Harbour,76,100,26.54,22.4,5.25
Oda,75,49,35.19,22.0,7.2
Rehoboth,48,90,-23.31,14.7,1.9
Bay City,1,50,43.59,-1.84,4.1
Kisangani,20,93,0.52,23.83,1.0
Seguin,1,83,29.57,22.01,5.7
Arlit,0,35,18.74,17.63,0.95
Brockton,75,32,42.08,4.92,8.7
Santa Maria del Oro,44,17,25.95,18.9,4.75
Zarand,0,88,30.81,4.13,1.05
Trelew,0,47,-43.25,18.63,5.55
Benghazi,36,100,32.12,15.93,7.6
Port Blair,20,100,11.67,28.2,4.45
Vila,0,51,45.18,5.52,4.6
Bilma,0,40,18.69,14.03,1.25
Tres Arroyos,0,93,-38.38,10.75,2.35
Cabo San Lucas,20,15,22.89,28.54,4.1
Monmouth,90,100,51.81,4.87,6.2
Susanville,1,37,40.42,15.0,5.1
Tucuman,0,85,-17.17,9.33,0.75
Gat,0,74,14.69,18.7,5.4
Burnie,12,100,-41.05,16.68,11.3
Fort Walton Beach,1,88,30.41,16.88,2.65
Klaksvik,64,68,62.23,-2.0,3.6
Ushuaia,75,87,-54.81,7.0,6.15
Busselton,0,95,-33.64,20.88,6.5
Boueni,75,78,-12.9,27.0,2.1
Iqaluit,90,84,63.75,-13.0,4.6
Venado Tuerto,92,93,-33.75,16.95,6.45
Borogontsy,88,68,62.67,-3.5,3.4
Byron Bay,75,69,-28.65,27.0,5.7
Puerto Escondido,20,74,15.86,27.0,3.0
Lorengau,32,99,-2.02,28.53,3.95
Jalu,8,44,29.03,15.63,5.6
Uyuni,0,31,-20.46,-2.48,2.1
Mitsamiouli,75,78,-11.38,27.0,3.1
Temax,88,62,21.15,26.18,2.0
Stephenville,1,76,32.22,10.2,5.1
Viedma,0,86,-40.81,14.03,4.95
Fomboni,56,100,-12.28,26.88,2.75
Cairns,75,74,-16.92,29.0,5.1
Fatehpur,0,61,31.18,24.78,3.3
Villa Carlos Paz,75,93,-31.42,18.0,4.1
Kisarawe,88,99,-6.9,23.33,1.15
Pisco,0,73,-13.71,22.0,2.1
Mangai,32,97,-4.07,23.55,0.85
Hamilton,75,88,32.3,20.0,1.0
Carnarvon,76,96,-30.97,12.5,1.35
Saint George,20,61,39.45,9.0,3.1
Manono,44,96,-7.3,20.8,1.75
Mumford,24,94,5.26,25.53,3.65
Namatanai,44,93,-3.66,29.78,3.45
Yacuiba,48,95,-22.01,19.53,1.4
Tura,0,76,25.52,24.95,1.6
Cockburn Town,92,100,21.46,24.0,7.2
Midland,64,54,32.0,12.08,8.7
Ushumun,20,34,52.78,-0.43,6.7
Yerbogachen,36,41,61.28,-12.55,4.45
Kapuskasing,20,47,49.42,-9.0,3.6
Miri,8,53,10.31,19.18,1.75
Methoni,20,81,36.82,9.0,9.4
Concarneau,92,87,47.88,10.0,5.1
Charters Towers,100,87,-20.07,25.2,7.35
Middle Island,1,41,40.88,5.67,2.6
Katsuura,20,60,33.93,20.0,2.6
Port Moresby,0,91,-9.47,29.7,5.15
Saskylakh,80,83,71.97,-12.6,3.0
Vestmanna,64,68,62.16,-2.0,3.6
Verkhnetulomskiy,20,92,68.61,-12.0,1.2
Litovko,76,82,49.24,7.75,2.85
Billings,90,86,45.79,-1.0,5.1
Jamestown,0,47,-33.21,21.65,4.35
Igrim,0,75,63.19,-10.1,2.45
Tual,44,100,-5.67,26.18,4.35
Grenada,1,72,33.77,16.0,1.3
Vanimo,80,100,-2.67,26.08,4.1
Seoul,75,46,37.57,20.96,2.6
Hailey,75,39,43.52,9.0,2.6
Brigantine,75,76,39.41,9.58,2.85
Coracora,0,80,-15.02,-2.33,1.05
Iquique,0,72,-20.22,20.0,3.6
Epinal,0,90,48.18,1.34,3.1
Dodge City,1,58,37.75,-1.4,3.1
Sitrah,0,53,26.15,21.68,8.2
Kulu,56,85,3.47,23.38,1.05
Corrales,92,94,5.83,9.9,0.7
Ambon,0,71,47.55,11.0,6.2
Douglas,1,9,31.34,21.0,4.1
Damphu,0,49,27.07,18.2,0.85
Ojinaga,92,16,29.56,20.53,1.2
Oruro,12,68,-17.97,6.15,3.75
Letlhakeng,56,96,-24.1,16.75,3.5
Baker City,90,65,44.77,5.82,3.6
Airai,12,69,-8.93,28.08,0.6
Eloy,1,5,32.76,28.01,6.2
Baghdad,0,44,33.3,15.0,1.0
Alugan,32,97,12.22,27.55,3.8
Codrington,92,100,-28.95,21.45,1.25
Beloha,12,87,-25.17,23.0,5.1
Kovernino,92,94,57.13,-0.98,5.0
Pyapon,36,70,16.29,29.88,2.45
Ancud,0,86,-41.87,8.93,1.75
Angoche,8,100,-16.23,27.15,2.85
Kijang,40,64,35.24,22.0,5.7
Mogadishu,44,100,2.04,27.78,3.6
Lebu,20,83,8.96,8.05,1.3
Beira,92,93,43.2,10.47,3.1
Yenagoa,68,94,4.92,24.75,3.85
Karuzi,12,97,-3.1,12.45,1.15
Antofagasta,20,63,-23.65,19.0,1.0
Fairview,1,28,40.81,5.68,2.6
Djambala,56,96,-2.55,22.43,3.8
The Valley,20,69,18.22,25.0,2.6
Farafangana,80,100,-22.82,24.2,2.95
Chimoio,44,93,-19.11,19.95,1.45
Barkot,0,49,30.81,17.63,1.05
Samana,20,95,0.12,22.68,0.85
Aykhal,32,59,65.95,-17.35,4.7
Lac du Bonnet,48,73,50.25,-10.08,4.65
Wajid,20,97,3.81,20.7,2.85
Svetlogorsk,75,79,53.14,-2.0,5.0
Hualmay,0,90,-11.1,18.43,1.8
Bayburt,0,62,40.26,-6.38,1.4
Mathbaria,88,68,22.29,28.9,1.65
Rathdrum,75,93,52.93,3.0,10.3
Tarata,0,100,-17.47,-1.68,0.6
Albion,40,79,41.69,-2.63,2.1
Umm Lajj,0,100,25.02,17.03,1.3
Kapit,56,82,2.02,27.0,1.3
Abilene,20,75,32.45,7.32,6.7
Inhambane,0,100,-23.87,22.2,3.25
Mackay,20,32,53.65,-5.0,3.6
Yook,24,100,13.23,26.05,2.2
Sorland,68,100,67.67,1.8,2.5
Flin Flon,0,46,54.77,-18.85,2.8
Hanna,44,73,51.64,-14.2,2.1
Sortland,12,67,68.69,-5.0,3.6
Ihosy,68,93,-22.4,17.55,2.05
Buala,56,90,-8.15,28.38,3.15
Black River,20,73,18.03,25.0,2.1
Bandar,56,100,-4.2,26.45,2.05
Calama,0,37,-22.46,12.0,3.6
Banda Aceh,8,85,5.56,28.15,0.7
Ingleside,20,68,45.0,-1.53,3.1
Honiara,40,74,-9.43,31.0,2.6
Albany,75,46,42.65,-0.73,1.5
Mareeba,75,74,-16.99,29.0,5.1
Taoudenni,8,41,22.68,17.95,1.65
Sept-Iles,90,73,50.2,-3.0,4.1
Mossendjo,92,100,-2.95,22.03,1.05
Yankton,1,63,42.87,-2.0,4.1
Rundu,80,76,-17.91,20.65,4.25
Waipawa,0,45,-39.94,20.95,6.3
Funadhoo,76,100,6.15,27.7,0.85
Roebourne,24,32,-20.77,36.4,2.1
Rocky Mountain House,68,62,52.38,-10.58,1.15
Marigot,68,100,18.23,24.25,1.2
Illintsi,0,92,49.11,2.18,5.25
Ordu,56,37,40.98,14.68,2.55
Rome,0,75,41.89,7.77,2.6
Benguela,88,100,-12.58,25.83,1.85
Camargo,80,17,27.69,22.88,2.55
Ormara,68,94,25.21,25.03,1.95
Pavilosta,92,100,56.89,0.48,3.1
Erenhot,0,54,43.65,8.8,8.25
Walvis Bay,8,82,-22.95,16.0,1.5
Kaeo,0,49,-35.1,23.68,0.35
Bemidji,1,61,47.48,-9.13,4.1
Le Port,68,90,42.87,-2.23,0.75
Nanticoke,1,51,41.21,0.88,1.35
Sinazongwe,32,100,-17.26,19.8,1.95
Caconda,56,96,-13.73,16.25,2.5
Yarkovo,90,85,54.81,-6.0,5.0
Pozo Colorado,44,90,-23.49,22.55,2.55
Warmbad,40,80,50.67,0.4,3.6
Lamu,64,91,0.57,26.53,1.05
Windhoek,64,82,-22.57,15.32,3.1
Karasjok,76,73,69.47,-6.0,5.1
Gwembe,0,100,-16.5,15.83,0.85
Camabatela,76,98,-8.19,17.75,1.2
Selma,1,40,36.57,24.68,2.6
Sarakhs,90,70,36.54,9.0,2.1
Lokosovo,80,89,61.13,-6.05,4.8
Neuquen,0,82,-38.95,15.0,1.25
Saint-Denis,90,70,48.94,7.5,2.6
Nikolayevsk-na-amure,68,96,53.14,-1.68,5.85
Saint Andrews,80,72,-44.53,17.63,2.15
Yar-Sale,0,76,66.83,-24.23,4.35
New Richmond,5,42,48.17,-1.0,6.2
Miles City,90,59,46.41,1.0,6.2
Aswan,0,83,24.09,13.08,1.85
Vieux-Habitants,0,88,16.06,23.0,4.55
Olavarria,0,84,-36.89,12.9,2.6
Kabompo,24,88,-13.6,18.13,3.9
Asyut,0,62,27.18,15.0,5.1
Saint-Joseph,0,53,43.56,7.03,2.1
Saint-Augustin,0,62,44.83,9.91,4.1
Booue,76,100,-0.09,21.65,1.05
Parana,75,94,-7.52,25.0,1.35
Wainwright,0,62,52.84,-18.23,2.95
Yinchuan,0,15,38.48,24.95,2.1
Nipawin,20,77,53.36,-15.0,3.6
Lanivtsi,64,91,49.87,1.25,10.6
Saint-Louis,0,86,47.59,-0.16,2.1
Magadi,0,73,12.96,23.97,2.6
Kamaishi,75,66,39.28,13.0,1.5
Kalabo,0,80,-15.0,19.5,4.15
Presidencia Roque Saenz Pena,8,92,-26.79,20.15,2.05
Whakatane,76,100,-37.96,19.0,2.4
Lazaro Cardenas,40,16,28.39,24.0,6.2
Kibala,0,54,9.11,26.0,2.05
Saint-Philippe,1,74,45.36,-0.77,4.6
Seydi,0,55,13.34,18.45,1.75
Simao,0,57,22.76,24.8,1.25
Preobrazheniye,48,61,42.9,10.55,1.55
Puerto Madryn,0,77,-42.77,18.3,8.85
Saint-Pierre,0,80,48.95,4.0,4.6
Punta Alta,20,83,-27.46,22.0,0.5
Ulladulla,0,61,-35.36,25.0,1.0
Hwange,0,79,-18.35,13.58,3.1
Palencia,76,75,42.01,7.15,2.65
Yuza,20,66,39.05,12.43,2.6
Rawson,0,47,-43.3,18.63,5.55
San Vicente,0,88,13.64,24.5,3.1
Kropachevo,88,90,55.01,-2.43,1.75
Reconquista,0,68,-29.14,22.63,3.8
Luanda,75,83,-8.83,27.0,1.0
Monte Patria,0,86,-30.69,9.9,0.85
Mahanoro,44,100,-19.9,22.13,1.65
Tiksi,64,83,71.64,-9.75,1.8
Mulchen,0,85,-37.72,8.75,0.4
Ilula,56,97,-7.68,14.4,0.85
Mananjary,20,89,-19.16,11.15,1.2
Port-Cartier,90,73,50.03,-3.0,4.1
Pontes e Lacerda,44,96,-15.23,19.7,1.3
Pachino,0,100,36.72,13.33,4.9
Guanica,75,83,17.97,23.0,3.1
Newmarket,75,46,44.06,-1.8,1.0
Westport,92,99,53.8,4.25,9.75
Kota,0,27,25.17,27.93,1.9
Damghan,0,75,36.17,7.8,0.95
Naze,64,93,5.43,23.9,3.0
Tzaneen,92,99,-23.83,17.15,0.85
Raton,1,69,36.9,4.31,2.6
Longyearbyen,0,43,78.22,-12.0,6.2
Tarko-Sale,48,91,64.92,-14.63,2.85
Isaka,44,97,-2.81,23.75,0.85
Malanje,92,99,-9.54,18.13,1.2
Port Hawkesbury,20,86,45.62,5.0,5.7
Morondava,36,99,-20.3,24.55,2.0
Parral,0,82,-36.14,15.0,1.5
Namibe,88,100,-15.19,25.25,2.2
Nosy Varika,76,100,-20.58,23.78,2.2
Letterkenny,88,100,54.95,4.45,10.25
Ondjiva,56,86,-17.07,19.7,3.15
Ambilobe,64,98,-13.19,20.8,0.85
Saurimo,68,94,-9.66,18.45,1.5
Upington,75,68,-28.46,21.0,7.7
Powassan,90,92,46.08,-6.0,4.6
Sambava,76,100,-14.27,26.63,4.4
The Pas,20,37,53.82,-17.0,1.5
Dubbo,40,25,-32.25,32.0,6.2
Socorro,56,95,13.06,25.55,1.55
Rakhiv,92,99,48.06,1.45,2.75
Vysokogornyy,64,49,50.1,7.45,2.85
Pascagoula,1,93,30.37,16.87,2.2
Zhezkazgan,40,92,47.8,-5.0,3.0
Lishui,56,55,28.45,24.43,1.15
Sumbe,48,100,-11.2,25.4,1.0
Esperance,20,78,10.24,24.0,2.85
Punta Arenas,90,93,-53.16,9.0,5.7
Ampanihy,32,92,-24.69,18.88,1.4
Thompson,20,48,55.74,-22.0,2.1
Flinders,44,61,-34.58,25.0,1.0
Nantucket,1,32,41.28,6.23,3.1
Bismarck,1,67,46.81,-6.0,4.1
Kemin,32,93,42.79,0.25,0.75
Sorong,20,100,-0.86,28.65,2.95
Katangli,0,98,51.71,0.08,4.5
Hengshui,0,65,37.73,24.95,5.55
Thunder Bay,90,46,48.41,-2.0,5.7
Bahia Blanca,0,84,-38.72,16.43,5.55
Agropoli,0,100,40.35,10.13,2.8
